::1,2017-09-30,19:01:12
::1,2017-09-30,19:01:12
,2017-09-30,19:03:31
,2017-09-30,19:04:02
::1,2017-09-30,19:08:21
::1,2017-09-30,19:08:21


::1,2017-09-30,20:03:01
::1,2017-09-30,20:03:07
::1,2017-09-30,20:03:16
::1,2017-09-30,20:07:26
::1,2017-09-30,20:07:40
::1,2017-09-30,20:08:07
::1,2017-09-30,20:08:51
::1,2017-09-30,20:09:04
::1,2017-09-30,20:09:22
::1,2017-09-30,20:10:14
::1,2017-09-30,20:12:02
::1,2017-09-30,20:13:59
::1,2017-09-30,20:15:35
::1,2017-09-30,20:16:25
::1,2017-09-30,20:16:28
::1,2017-09-30,20:16:38
::1,2017-09-30,20:17:05
::1,2017-09-30,20:17:09
::1,2017-09-30,20:17:33
::1,2017-09-30,20:17:44
::1,2017-09-30,20:18:52
